品质,工作要求,工作要求
"[0, 10, 6, 7]","[33, 28]",[63]
"[3, 13, 16, 20, 21]","[40, 28, 29]",[90]
"[0, 13, 14, 20, 21]","[28, 29, 38]",[63]
"[16, 4, 21, 14]","[29, 30]",[]
[21],[32],[63]
[21],"[32, 39]",[63]
"[0, 3, 6, 11, 16, 18, 20, 21]","[29, 30]","[64, 90, 63]"
"[4, 10, 15, 16, 20]","[31, 29, 30, 39]","[90, 62, 63]"
"[3, 21]",[40],"[81, 83, 84, 85]"
"[16, 20, 21]",[],[]
[21],"[28, 39]",[63]
"[0, 2, 3, 8, 11, 12, 13, 15, 20, 23, 26]","[35, 28, 29, 30, 31]","[90, 63]"
"[11, 21]","[35, 29, 31]",[65]
[],[29],[]
"[21, 23]","[28, 31]",[65]
"[11, 21]","[32, 29]","[64, 63]"
[21],"[29, 39]","[86, 63]"
[21],[40],[63]
"[0, 3, 4, 12, 13, 18, 20, 26]","[29, 31]",[90]
"[0, 4, 11, 16, 21]","[39, 28, 29, 30, 31]",[63]
"[0, 6, 8, 9, 10, 16, 26]","[29, 30]",[]
[],[],[]
"[0, 21]","[29, 39]","[88, 90, 87, 63]"
[8],"[35, 28, 29, 31]","[57, 85]"
[26],"[40, 29]",[63]
[21],[],[]
[21],"[40, 42, 29]",[63]
"[10, 4, 21]","[32, 41, 28, 29]",[]
[3],"[28, 29]",[]
"[0, 2, 4, 12, 21, 26]","[32, 40, 29, 38]","[65, 90, 63]"
[18],"[32, 29, 31]",[]
"[20, 12, 4, 21]","[40, 29, 30, 39]","[90, 85, 63]"
"[11, 21]",[29],[63]
"[0, 1, 2, 21, 26]",[],[63]
"[11, 20, 4]","[28, 29, 30]",[90]
"[0, 21]","[39, 40, 28, 29, 31]",[63]
"[4, 21]","[29, 30, 39]",[63]
"[11, 12]","[40, 35, 29]",[63]
[12],"[29, 30, 39]",[90]
[],"[40, 28]",[]
"[0, 26, 4]","[40, 35]",[63]
[3],[],[]
"[0, 21]","[32, 29, 39]",[63]
"[16, 4, 21]","[40, 29, 39]","[90, 63]"
[21],[],[63]
[4],[29],[]
[],[],[]
[21],[39],[63]
[],"[31, 29, 30, 39]",[67]
[21],[],[86]
"[16, 4, 21, 15]","[29, 30]",[]
"[4, 21, 23]","[35, 28, 29, 31]","[90, 63]"
[21],[],[]
"[0, 4, 13, 21, 23]","[35, 29]",[63]
"[8, 21]",[29],[90]
"[0, 21]","[40, 28]","[81, 82, 83, 84, 85]"
"[0, 21]",[31],"[65, 90, 63]"
[10],"[28, 29, 30, 39]","[64, 82]"
"[0, 11, 4, 14]","[28, 29, 30]",[63]
"[16, 17, 21, 15]","[40, 29]",[63]
"[11, 21]","[40, 29, 30, 39]","[84, 63]"
"[13, 11, 21, 6]","[32, 29]",[]
[],[28],[63]
[0],"[29, 30]","[68, 63]"
"[8, 0, 3]",[40],[90]
[21],"[40, 39]",[63]
[21],"[29, 30]","[64, 63]"
[21],[],"[90, 86, 63]"
"[2, 26, 3, 21]","[42, 29, 30]","[90, 63]"
"[8, 18]",[29],"[48, 63]"
"[0, 3, 19, 20]","[32, 29]",[]
"[0, 3, 21]",[],"[90, 86, 63]"
[],[],[]
[21],"[32, 39]","[90, 63]"
"[0, 13, 3, 21]","[32, 29, 31]",[67]
"[16, 3, 4]","[29, 31]",[]
[21],[],"[86, 63]"
"[8, 0, 21]",[28],"[64, 81, 82, 83, 84, 85]"
[],"[40, 28]",[64]
"[4, 8, 12, 14, 21]",[28],"[64, 65]"
"[16, 26, 11, 13]",[29],"[90, 63]"
[],[],[65]
[4],[30],[]
"[0, 3, 21]",[],[63]
"[26, 18, 3, 21]","[32, 29, 30]",[63]
[21],"[40, 29, 30, 39]","[46, 63]"
"[8, 21]",[35],"[48, 63]"
"[16, 0, 21]","[32, 29]",[90]
